"name","page","address","bytes","disabled","scale_minimum","scale_maximum","display_minimum","display_maximum","display_interval","units","short_desc","long_desc"
"RT_COOLANTTEMP1(VOLTS)","0xf8","0x238c","2","","0.000000","5.000000","0.000000","5.000000","0.500000","V"," Coolant Temp (Volts)"," The voltage (0 to 5V) measured from the Coolant Temp input. This is the raw voltage before being taking into account the calibration curve for the sensor and before any limit checking."
"RT_COOLANTTEMP1(RAW)","0xf8","0x2340","2","","-30.000000","130.000000","-30.000000","130.000000","10.000000",""," Coolant Temp (Raw)"," The reading from the Coolant Temp input. Note that although this value has been calibrated for the sensor and is displayed in �C it has not been limit checked."
"RT_COOLANTTEMP1SITE","0xf8","0x48","1","","0.000000","16.000000","0.000000","16.000000","1.000000","Site"," Coolant Temp Site"," All temperature addressed maps in the 972 use a site number although this is usually proportional to the temperature."
"RT_AIRTEMP1(LIM)","0xf8","0x2336","2","","-30.000000","130.000000","-30.000000","130.000000","10.000000",""," Air Temp"," Note that this value has been calibrated for the sensor and has been through the limit checking process."
"RT_AIRTEMP1(VOLTS)","0xf8","0x23ea","2","","0.000000","5.000000","0.000000","5.000000","0.500000","V"," Air Temp (Volts)"," The voltage (0 to 5V) measured from the Air Temp input. This is the raw voltage before being taking into account the calibration curve for the sensor and before any limit checking."
"RT_AIRTEMP(RAW)","0xf8","0x2334","2","","-30.000000","130.000000","-30.000000","130.000000","10.000000",""," Air Temp (Raw)"," The reading from the Air Temp input. Note that although this value has been calibrated for the sensor and is displayed in �C it has not been limit checked."
"RT_AIRTEMP1SITE","0xf8","0x4a","1","","0.000000","16.000000","0.000000","16.000000","1.000000","Site"," Air Temp Site"," All temperature addressed maps in the 972 use a site number although this is usually proportional to the temperature."
"RT_OILTEMP(LIM)","0xf8","0x2346","2","","-30.000000","290.000000","-30.000000","290.000000","20.000000",""," Oil Temp"," Note that this value has been calibrated for the sensor and has been through the limit checking process."
"RT_OILTEMP(VOLTS)","0xf8","0x23de","2","","0.000000","5.000000","0.000000","5.000000","0.500000","V"," Oil Temp (Volts)"," The voltage (0 to 5V) measured from the Oil Temperature input. This is the raw voltage before being taking into account the calibration curve for the sensor and before any limit checking."
"RT_OILTEMP(RAW)","0xf8","0x2342","2","","-30.000000","130.000000","-30.000000","130.000000","10.000000",""," Oil Temp (Raw)"," The reading from the Oil Temperature input. Note that although this value has been calibrated for the sensor and is displayed in �C it has not been limit checked."
"RT_BATTERYVOLTAGE(LIM)","0xf8","0x239e","2","","0.000000","20.000000","0.000000","20.000000","5.000000","V"," Battery Voltage"," Measurement of Supply Voltage to the ECU after being limit checked."
"RT_BATTERYVOLTAGE(RAW)","0xf8","0x239c","2","","0.000000","20.000000","0.000000","20.000000","5.000000","V"," Battery Voltage(Raw)"," Measurement of Supply Voltage to the ECU before being limit checked."
"RT_BATTERYVOLTAGESITE","0xf8","0x4b","1","","0.000000","16.000000","0.000000","16.000000","1.000000","Site"," Battery Voltage Site"," This realtime parameter has no information associated with it."
"RT_BAROSCALEDLIM","0xf8","0x236a","2","","-1.000000","5.553500","-1.000000","5.553500","0.500000","Bar"," Baro Pressure"," The ambient pressure after being scaled and limit checked"
"RT_BAROVOLTSRAW","0xf8","0x2366","2","","0.000000","5.000000","0.000000","5.000000","0.500000","V"," Baro Pressure (Volts)"," The raw voltage measured from the Barometric pressure sensor before any scaling or limit checking is applied"
"RT_BAROSCALEDRAW","0xf8","0x2368","2","","-1.000000","5.553500","-1.000000","5.553500","0.500000","Bar"," Baro Pressure (Raw)"," The ambient pressure after being scaled but before being limit checked"
"RT_BAROPRESSURESITE","0xf8","0x5e","1","","0.000000","16.000000","0.000000","16.000000","1.000000","Site"," Baro Pressure Site"," The Barometric pressure reading is converted into a site number before being used to access pressure compensation maps."
"RT_BAROPRESSSAMPLEPOINT","0xfa","0xff","1","","0.000000","255.000000","0.000000","40.000000","5.000000","Sample"," Sample Point for Baro Pressure"," Shows which pressure sample will be used to measure Baro pressure at a given throttle position and engine speed."
"RT_MANPRESS1BARLIM","0xf8","0x23e2","2","","-1.000000","5.553500","-1.000000","5.553500","0.500000","Bar"," Manifold Pressure 1"," The reading from the pressure sensor in the manifold / airbox after being scaled and limit checked."
"RT_MANPRESS1VOLTSRAW","0xf8","0x23e0","2","","0.000000","5.000000","0.000000","5.000000","0.500000","V"," Manifold Pressure 1 Volts"," The raw voltage reading from the pressure sensor in the manifold / airbox."
"RT_MANPRESS1BARRAW","0xfa","0x2386","2","","-1.000000","5.553500","-1.000000","5.553500","0.500000","Bar"," Manifold Pressure 1 (Raw)"," The reading from the pressure sensor in the manifold / airbox after being scaled but before being limit checked."
"RT_MANIFOLDPRESSURESITE","0xf8","0x80","1","","0.000000","16.000000","0.000000","16.000000","1.000000","Site"," Manifold Pressure Site 1"," All manifold pressure readings are converted into a site number before being used to access pressure compensation maps."
"RT_MANPRESSSAMPLEPOINT","0xfa","0xfe","1","","0.000000","255.000000","0.000000","40.000000","5.000000","Sample"," Sample Point for Manifold Pressure"," Shows which pressure sample will be used to measure manifold pressure at a given throttle position and engine speed."
"RT_MANPRESS2VOLTSRAW","0xfa","0x2348","2","DISABLED","0.000000","5.000000","0.000000","5.000000","0.500000","V"," Manifold Pressure 2 Volts(Raw)"," The raw voltage reading from the pressure sensor in the manifold / airbox."
"RT_MANPRESS2BARRAW","0xfa","0x2388","2","DISABLED","-1.000000","5.553500","-1.000000","5.553500","0.500000","Bar"," Manifold Pressure 2 Bar(Raw)"," The reading from the pressure sensor in the manifold / airbox after being scaled but before being limit checked."
"RT_MANPRESS2BARLIM","0xfa","0x234a","2","DISABLED","-1.000000","5.553500","-1.000000","5.553500","0.500000","Bar"," Manifold Pressure 2 Bar(Lim)"," The reading from the pressure sensor in the manifold / airbox after being scaled and limit checked."
"RT_MANIFOLDPRESSURESITE2","0xf8","0x29","1","DISABLED","0.000000","16.000000","0.000000","16.000000","1.000000","Site"," Manifold Pressure Site 2"," All manifold pressure readings are converted into a site number before being used to access pressure compensation maps."
"RT_HORIZ_LVDT(RAW)","0xfa","0x2372","2","DISABLED","0.000000","5.000000","0.000000","5.000000","0.500000","V"," Horizontal Position(Raw)"," The voltage measured from the horizontal position LVDT before being limit checked."
"RT_HORIZ_LVDT(LIM)","0xfa","0x2370","2","DISABLED","0.000000","5.000000","0.000000","5.000000","0.500000","V"," Horizontal Position"," The voltage measured from the horizontal position LVDT after being limit checked."
"RT_HORIZ_LVDT(MM)","0xfa","0x2370","2","DISABLED","126.000000","71.000000","126.000000","71.000000","-1.000000","mm"," Horizontal Position (mm)"," The voltage measured from the horizontal position LVDT after being limit checked and scaled in millimetres."
"RT_VERT_LVDT(RAW)","0xfa","0x235a","2","DISABLED","0.000000","5.000000","0.000000","5.000000","0.500000","V"," Vertical Position(Raw)"," The voltage measured from the Vertical position LVDT before being limit checked."
"RT_VERT_LVDT(LIM)","0xfa","0x235c","2","DISABLED","0.000000","5.000000","0.000000","5.000000","0.500000","V"," Vertical Position"," The voltage measured from the Vertical position LVDT after being limit checked."
"RT_VERT_LVDT(MM)","0xfa","0x235c","2","DISABLED","39.000000","-24.000000","39.000000","-24.000000","-1.000000","mm"," Vertical Position (mm)"," The voltage measured from the Vertical position LVDT after being limit checked."
"RT_SLIPFACTOR","0xe3","0x23b4","2","","-100.000000","300.000000","-100.000000","300.000000","50.000000",""," Slip Factor"," Ratio of driven wheel speed to non-driven wheel speed."
"RT_MEASUREDWHEELSPEED","0xe2","0x8584","2","","0.000000","326.000000","0.000000","326.000000","10.000000","mph"," Measured Wheel Speed"," Measured Wheel Speed"
"RT_OXYGENA(RAW)","0xf8","0x2338","2","","0.000000","5.000000","0.000000","5.000000","0.500000","V"," Oxygen A (Raw)"," The voltage measured from the oxygen sensor before being limit checked. Note this reading does not take the sensor type into account."
"RT_OXYGENA(LIM)","0xf8","0x2392","2","","0.000000","5.000000","0.000000","5.000000","0.250000","v"," Oxygen A (Lim)"," The voltage measured from the oxygen sensor after being limit checked. Note this reading does not take the sensor type into account."
"RT_OXYGENA(LIM)B","0xf8","0x93","1","DISABLED","0.000000","5.000000","0.000000","5.000000","0.250000","v"," Oxygen A (Lim) B"," This realtime parameter has no information associated with it."
"RT_OXYGENB(RAW)","0xf8","0x233a","2","DISABLED","0.000000","5.000000","0.000000","5.000000","0.500000","V"," Oxygen B (Raw)"," The voltage measured from the oxygen sensor before being limit checked. Note this reading does not take the sensor type into account."
"RT_OXYGENB(LIM)","0xf8","0x2394","2","DISABLED","0.000000","5.000000","0.000000","5.000000","0.250000","v"," Oxygen B (Lim)"," The voltage measured from the oxygen sensor after being limit checked. Note this reading does not take the sensor type into account."
"RT_LAMBDA16BITCHAN1","0x11","0xa5a4","2","DISABLED","0.000000","10.240000","0.000000","10.000000","1.000000","Lambda"," Lambda Chan1 (16 bit)"," Lambda Chan1 (16 bit)"
"RT_LAMBDA16BITCHAN2","0x11","0xa7a6","2","DISABLED","0.000000","10.240000","0.000000","10.000000","1.000000","Lambda"," Lambda Chan2 (16 bit)"," Lambda Chan2 (16 bit)"
"RT_WRLAMBDA1FROMCAN","0xe2","0xd7d6","2","","0.000000","2.560000","0.000000","2.500000","0.500000","-"," Lambda 1 LSU CAN"," Lambda 1LSU CAN. Wide Range Lamba Input as derived from a remote Sensor over a CAN Bus."
"RT_WRLAMBDA2FROMCAN","0xe2","0xdddc","2","","0.000000","2.560000","0.000000","2.500000","0.500000","-"," Lambda 2 LSU CAN"," Lambda 2 LSU CAN. Wide Range Lamba Input as derived from a remote Sensor over a CAN Bus."
"RT_WRLAMBDARI1FROMCAN","0xe2","0xd9d8","2","","0.000000","65536.000000","0.000000","10000.000000","1000.000000","Ohms"," Lambda 1 Ri LSU CAN"," Lambda 1LSU CAN. Wide Range Lamba Input as derived from a remote Sensor over a CAN Bus."
"RT_WRLAMBDARI2FROMCAN","0xe2","0xdfde","2","","0.000000","65536.000000","0.000000","10000.000000","1000.000000","Ohms"," Lambda 2 Ri LSU CAN"," Lambda 2 LSU CAN. Wide Range Lamba Input as derived from a remote Sensor over a CAN Bus."
"RT_OXYGENC(RAW)","0xf8","0x3d3c","2","DISABLED","0.000000","5.000000","0.000000","5.000000","0.500000","V"," Oxygen C (Raw)"," The voltage measured from the oxygen sensor before being limit checked. Note this reading does not take the sensor type into account."
"RT_OXYGENC(LIM)","0xf8","0x2396","2","DISABLED","0.000000","5.000000","0.000000","5.000000","0.250000","v"," Oxygen C (Lim)"," The voltage measured from the oxygen sensor after being limit checked. Note this reading does not take the sensor type into account."
"RT_OXYGEND(RAW)","0xf8","0x3f3e","2","DISABLED","0.000000","5.000000","0.000000","5.000000","0.500000","V"," Oxygen D (Raw)"," The voltage measured from the oxygen sensor before being limit checked. Note this reading does not take the sensor type into account."
"RT_OXYGEND(LIM)","0xf8","0x2398","2","DISABLED","0.000000","5.000000","0.000000","5.000000","0.250000","v"," Oxygen D (Lim)"," The voltage measured from the oxygen sensor after being limit checked. Note this reading does not take the sensor type into account."
"RT_HYDPRESSVOLTSRAW","0xf8","0x2366","2","DISABLED","0.000000","5.000000","0.000000","5.000000","0.500000","V"," Hydraulic Pressure (Volts)"," The raw voltage measured from the Hydraulic pressure sensor before any scaling or limit checking is applied"
"RT_HYDPRESSSCALEDRAW","0xf8","0x2368","2","DISABLED","0.000000","500.000000","0.000000","500.000000","100.000000","Bar"," Hydraulic Pressure (Raw)"," The Hydraulic pressure after being scaled but before being limit checked"
"RT_HYDPRESSSCALEDLIM","0xf8","0x236a","2","DISABLED","0.000000","500.000000","0.000000","500.000000","100.000000","Bar"," Hydraulic Pressure"," The Hydraulic pressure after being scaled and limit checked"
"RT_OILPRESS(VOLTS)","0x19","0x5150","2","","0.000000","5.000000","0.000000","5.000000","0.500000","V"," Oil Pressure (Volts)"," The voltage (0 to 5V) measured from the Oil Temperature input. This is the raw voltage before being taking into account the calibration curve for the sensor and before any limit checking."
"RT_OILPRESS(RAWPSI)","0xf6","0x23f2","2","","0.000000","963.400024","0.000000","250.000000","50.000000","psi"," Oil Pressure (Raw)"," The reading from the Oil Pressure input. Note that although this value has been calibrated for the sensor and is displayed in psi it has not been limit checked."
"RT_OILPRESSAVG(RAWPSI)","0xf6","0xf1f0","2","","0.000000","963.400024","0.000000","250.000000","50.000000","psi"," Oil Pressure Averge (Raw)"," The reading from the Oil Pressure input. After it has been averaged. Note that although this value has been calibrated for the sensor and is displayed in psi it has not been limit checked."
"RT_OILPRESS(PSI)","0xf6","0x23f4","2","","0.000000","963.400024","0.000000","250.000000","50.000000","psi"," Oil Pressure"," Note that this value has been calibrated for the sensor and has been through the limit checking process."
"RT_OILPRESS(RAWBAR)","0xf6","0x23f2","2","","0.000000","65.535004","0.000000","20.000000","5.000000","Bar"," Oil Pressure (Raw)"," The reading from the Oil Pressure input. Note that although this value has been calibrated for the sensor and is displayed in Bar it has not been limit checked."
"RT_OILPRESSAVG(RAWBAR)","0xf6","0xf1f0","2","","0.000000","65.500000","0.000000","20.000000","5.000000","Bar"," Oil Pressure Averge (Raw)"," The reading from the Oil Pressure input. After it has been averaged. Note that although this value has been calibrated for the sensor and is displayed in Bar it has not been limit checked."
"RT_OILPRESS(BAR)","0xf6","0x23f4","2","","0.000000","65.535004","0.000000","20.000000","5.000000","Bar"," Oil Pressure"," Note that this value has been calibrated for the sensor and has been through the limit checking process."
"RT_FUELPRESS(VOLTS)","0x19","0x5352","2","","0.000000","5.000000","0.000000","5.000000","0.500000","V"," Fuel Pressure (Volts)"," The voltage (0 to 5V) measured from the Fuel Pressure input. This is the raw voltage before being taking into account the calibration curve for the sensor and before any limit checking."
"RT_FUELPRESS(RAWPSI)","0xf6","0x5b5a","2","","0.000000","963.000000","0.000000","250.000000","50.000000","psi"," Fuel Pressure (Raw)"," The reading from the Fuel Temperature input. Note that although this value has been calibrated for the sensor and is displayed in PSI it has not been limit checked."
"RT_FUELPRESSAVG(RAWPSI)","0xf6","0x5f5e","2","","0.000000","963.400024","0.000000","250.000000","50.000000","psi"," Fuel Pressure Averge (Raw)"," The reading from the Fuel Pressure input. After it has been averaged. Note that although this value has been calibrated for the sensor and is displayed in psi it has not been limit checked."
"RT_FUELPRESS(PSI)","0x11","0xb3b2","2","","0.000000","963.000000","0.000000","250.000000","50.000000","psi"," Fuel Pressure"," Note that this value has been calibrated for the sensor and has been through the limit checking process."
"RT_FUELPRESS(RAWBAR)","0xf6","0x5b5a","2","","0.000000","65.500000","0.000000","20.000000","5.000000","Bar"," Fuel Pressure (Raw)"," The reading from the Fuel Temperature input. Note that although this value has been calibrated for the sensor and is displayed in Bar it has not been limit checked."
"RT_FUELPRESSAVG(RAWBAR)","0xf6","0x5f5e","2","","0.000000","65.500000","0.000000","20.000000","5.000000","Bar"," Fuel Pressure Averge (Raw)"," The reading from the Fuel Pressure input. After it has been averaged. Note that although this value has been calibrated for the sensor and is displayed in Bar it has not been limit checked."
"RT_FUELPRESS(BAR)","0x11","0xb3b2","2","","0.000000","65.500000","0.000000","20.000000","5.000000","Bar"," Fuel Pressure"," Note that this value has been calibrated for the sensor and has been through the limit checking process."
"RT_FUELLEVELRAW","0xf6","0x23a0","2","DISABLED","0.000000","5.000000","0.000000","5.000000","0.500000","V"," Fuel Level Raw"," Shows the raw voltage measured on the Fuel Tank Level input"
"RT_FUELLEVELLIM","0xf6","0x23a2","2","DISABLED","0.000000","5.000000","0.000000","5.000000","0.500000","V"," Fuel Level Lim"," Shows the voltage measured on the Fuel Tank Level input after being limit checked"
"RT_MAPPINGPOT1RAW","0xf8","0x23e4","2","DISABLED","-100.000000","100.000000","-100.000000","100.000000","10.000000",""," Mapping Pot 1 Raw"," The percentage trim applied by Mapping Knob 1 before being limit checked - Note this does not take account of the setup of the mapping box"
"RT_MAPPINGPOT1LIM","0xf8","0x23d8","2","","-100.000000","100.000000","-100.000000","100.000000","10.000000",""," Mapping Pot 1"," The percentage trim applied by Mapping Knob 1 after being limit checked - Note this does not take account of the setup of the mapping box"
"RT_MAPPINGPOT2RAW","0xf8","0x23e6","2","DISABLED","-100.000000","100.000000","-100.000000","100.000000","10.000000",""," Mapping Pot 2 Raw"," The percentage trim applied by Mapping Knob 2 before being limit checked - Note this does not take account of the setup of the mapping box"
"RT_MAPPINGPOT2LIM","0xf8","0x23da","2","","-100.000000","100.000000","-100.000000","100.000000","10.000000",""," Mapping Pot 2"," The percentage trim applied by Mapping Knob 2 after being limit checked - Note this does not take account of the setup of the mapping box"
"RT_MAPPINGPOT3RAW","0xf8","0x23e8","2","DISABLED","-100.000000","100.000000","-100.000000","100.000000","10.000000",""," Mapping Pot 3 Raw"," The percentage trim applied by Mapping Knob 3 before being limit checked - Note this does not take account of the setup of the mapping box"
"RT_MAPPINGPOT3LIM","0xf8","0x23dc","2","","-100.000000","100.000000","-100.000000","100.000000","10.000000",""," Mapping Pot 3"," The percentage trim applied by Mapping Knob 3 after being limit checked - Note this does not take account of the setup of the mapping box"
"RT_MAPPINGPOT4RAW","0xf6","0x23ac","2","DISABLED","-100.000000","100.000000","-100.000000","100.000000","10.000000",""," Mapping Pot 4 Raw"," The percentage trim applied by Mapping Knob 4 before being limit checked - Note this does not take account of the setup of the mapping box"
"RT_MAPPINGPOT4LIM","0xf6","0x23ae","2","DISABLED","-100.000000","100.000000","-100.000000","100.000000","10.000000",""," Mapping Pot 4"," The percentage trim applied by Mapping Knob 4 after being limit checked - Note this does not take account of the setup of the mapping box"
"RT_MAPPINGPOT5RAW","0xf6","0x2398","2","DISABLED","-100.000000","100.000000","-100.000000","100.000000","10.000000",""," Mapping Pot 5 Raw"," The percentage trim applied by Mapping Knob 4 before being limit checked - Note this does not take account of the setup of the mapping box"
"RT_MAPPINGPOT5LIM","0xf6","0x239a","2","DISABLED","-100.000000","100.000000","-100.000000","100.000000","10.000000",""," Mapping Pot 5"," The percentage trim applied by Mapping Knob 4 after being limit checked - Note this does not take account of the setup of the mapping box"
"RT_SWITCHES1","0xfd","0x3c","1","DISABLED","0.000000","255.000000","0.000000","255.000000","25.000000","-"," Switches1"," This realtime parameter has no information associated with it."
"RT_SWITCHES2","0xfd","0x3d","1","DISABLED","0.000000","255.000000","0.000000","255.000000","25.000000","-"," Switches2"," This realtime parameter has no information associated with it."
"RT_PSINPUTADCRAW","0xfa","0x2344","2","","0.000000","5.000000","0.000000","5.000000","0.500000","V"," PS Input Volts Raw"," The raw voltage measured on the Power Shift input."
